Order ID,Customer ID,Customer Name,Segment,Order Date,Ship Mode,Product ID,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit,State,Region,City,Ship Date
ORD-00001,CUST-001,Michelle Collins,Consumer,27/08/2022,Standard,PROD-001,Office Supplies,Fasteners,Stapler,2,0.4,1816.74,563.5,Florida,South,Miami,1/09/2022
ORD-00002,CUST-002,David Johnson,Home Office,3/03/2020,Second Class,PROD-002,Office Supplies,Paper,Paper,2,0.48,2821.91,-31.3,Georgia,South,Atlanta,5/03/2020
ORD-00003,CUST-003,Alice Brown,Consumer,14/11/2021,First Class,PROD-003,Office Supplies,Fasteners,Stapler,1,0.39,1453.26,67.73,Florida,South,Miami,17/11/2021
ORD-00004,CUST-004,Charles Lewis,Consumer,28/01/2022,Second Class,PROD-004,Technology,Copiers,Copier,7,0.44,1150.3,568.23,Georgia,South,Atlanta,30/01/2022
ORD-00005,CUST-005,William Garcia,Corporate,30/08/2020,Standard,PROD-005,Technology,Computers,Laptop,4,0.21,866.12,-43.62,Washington,West,Seattle,31/08/2020
ORD-00006,CUST-006,Barbara Thompson,Corporate,22/09/2021,Standard,PROD-006,Technology,Printers,Printer,9,0.36,3089.13,-566.87,Florida,South,Orlando,29/09/2021
ORD-00007,CUST-007,Linda Martinez,Consumer,27/04/2021,Standard,PROD-007,Technology,Printers,Printer,3,0.07,174.86,125.75,Georgia,South,Atlanta,1/05/2021
ORD-00008,CUST-008,Jessica Taylor,Corporate,23/09/2022,Second Class,PROD-008,Technology,Computers,Laptop,3,0.37,362.95,26.91,Georgia,South,Atlanta,26/09/2022
ORD-00009,CUST-009,Alice Brown,Consumer,5/12/2024,First Class,PROD-009,Furniture,Bookcases,Bookcase,5,0,3289.21,1217.02,Ohio,Midwest,Columbus,10/12/2024
ORD-00010,CUST-010,Angela Carter,Consumer,4/10/2022,Standard,PROD-010,Furniture,Storage,Filing Cabinet,5,0.19,2847.27,2809.79,Georgia,South,Atlanta,7/10/2022
ORD-00011,CUST-011,Mike Lee,Home Office,22/03/2022,Standard,PROD-011,Technology,Accessories,Mouse,4,0.43,3193.44,-798.94,Florida,South,Orlando,23/03/2022
ORD-00012,CUST-012,George Turner,Consumer,20/04/2023,Standard,PROD-012,Office Supplies,Binders,Binder,3,0.14,4465.46,2954.54,Ohio,Midwest,Columbus,21/04/2023
ORD-00013,CUST-013,Paul Baker,Corporate,14/03/2021,Second Class,PROD-013,Technology,Phones,Phone,7,0.42,4529.93,5441.29,Texas,South,Houston,16/03/2021
ORD-00014,CUST-014,Bob Wilson,Home Office,10/04/2022,Second Class,PROD-014,Office Supplies,Appliances,Paper Shredder,6,0.38,3474.76,750.73,Georgia,South,Atlanta,17/04/2022
ORD-00015,CUST-015,Alice Brown,Home Office,30/05/2022,Second Class,PROD-015,Furniture,Furnishings,Desk Lamp,5,0.29,220.29,-26.35,Illinois,Midwest,Chicago,31/05/2022
ORD-00016,CUST-016,Mike Lee,Corporate,5/10/2024,Standard,PROD-016,Office Supplies,Fasteners,Stapler,10,0.14,772.12,1203.83,New York,East,Albany,11/10/2024
